Source,Target,Weight,July19Topic,PostDate
User6193,Post401,2,16,JanApr-17
User0454,Post295,2,18,SepDec-16
User0454,Post529,2,12,SepDec-16
User0454,Post468,2,11,MayAug-16
User0454,Post423,2,17,MayAug-16
User0423,Post493,2,1,SepDec-17
User0398,Post062,2,17,SepDec-17
User0385,Post279,2,14,MayAug-17
User0052,Post110,2,15,JanApr-17
User0383,Post485,2,8,SepDec-17
User0383,Post269,2,12,SepDec-17
User0383,Post606,2,7,MayAug-17
User1526,Post199,2,1,JanApr-17
User0383,Post564,2,NA,MayAug-17
User0383,Post228,2,12,MayAug-17
User0383,Post310,2,2,MayAug-17
User0339,Post261,2,8,JanApr-17
User1526,Post551,2,13,JanApr-17
User0383,Post492,2,13,MayAug-17
User1526,Post399,2,3,JanApr-17
User0454,Post502,2,13,JanApr-17
User5555,Post502,2,13,JanApr-17
User2807,Post198,2,2,JanApr-17
User0454,Post179,2,9,JanApr-17
User0383,Post605,2,17,MayAug-17
User0383,Post303,2,NA,MayAug-17
User0381,Post575,2,5,MayAug-17
User0367,Post281,2,12,JanApr-17
User0360,Post201,2,13,JanApr-17
User0360,Post190,2,10,JanApr-17
User0360,Post417,2,11,JanApr-17
User0359,Post375,2,5,SepDec-17
User0359,Post345,2,5,MayAug-17
User0357,Post372,2,9,SepDec-17
User0357,Post229,2,2,SepDec-17
User0357,Post381,2,18,SepDec-17
User0357,Post604,2,11,SepDec-17
User0357,Post030,2,2,SepDec-17
User0357,Post455,2,1,MayAug-17
User0357,Post032,2,13,JanApr-17
User0357,Post035,2,12,JanApr-17
User0347,Post437,2,1,MayAug-17
User0325,Post581,2,6,MayAug-17
User0320,Post463,2,1,JanApr-17
User0320,Post025,2,7,JanApr-17
User0317,Post164,2,5,SepDec-17
User0317,Post345,2,5,MayAug-17
User0312,Post068,2,16,MayAug-17
User0306,Post477,2,17,SepDec-17
User0305,Post047,2,9,JanApr-17
User0305,Post548,2,10,JanApr-17
User0305,Post174,2,15,JanApr-17
User0305,Post190,2,10,JanApr-17
User0566,Post335,2,8,JanApr-17
User0532,Post516,2,10,JanApr-17
User5288,Post096,2,6,JanApr-17
User1753,Post096,2,6,JanApr-17
User5698,Post096,2,6,JanApr-17
User3551,Post096,2,6,JanApr-17
User7264,Post096,2,6,JanApr-17
User5908,Post096,2,6,JanApr-17
User0842,Post096,2,6,JanApr-17
User7231,Post096,2,6,JanApr-17
User2208,Post096,2,6,JanApr-17
User0305,Post571,2,12,JanApr-17
User0462,Post128,2,3,JanApr-17
User0300,Post095,2,1,JanApr-17
User0299,Post084,2,18,MayAug-17
User0299,Post037,2,2,JanApr-17
User0276,Post451,2,8,JanApr-17
User0274,Post372,2,9,SepDec-17
User0269,Post083,2,NA,SepDec-17
User0240,Post485,2,8,SepDec-17
User0234,Post302,2,NA,MayAug-17
User0234,Post065,2,3,JanApr-17
User0234,Post120,2,8,JanApr-17
User0234,Post249,2,17,JanApr-17
User0195,Post025,2,7,JanApr-17
User0186,Post027,2,12,SepDec-16
User0178,Post452,2,16,SepDec-17
User0177,Post493,2,1,SepDec-17
User0176,Post113,2,8,SepDec-17
User0176,Post338,2,15,JanApr-17
User0172,Post372,2,9,SepDec-17
User0172,Post575,2,5,MayAug-17
User0172,Post500,2,5,JanApr-17
User0170,Post549,2,13,SepDec-16
User0161,Post311,2,18,JanApr-17
User0037,Post137,2,14,JanApr-17
User0159,Post036,2,1,JanApr-17
User0144,Post065,2,3,JanApr-17
User0144,Post417,2,11,JanApr-17
User0126,Post089,2,18,SepDec-17
User0126,Post229,2,2,SepDec-17
User2297,Post523,2,14,JanApr-17
User0161,Post216,2,2,JanApr-17
User0126,Post086,2,8,SepDec-17
User0126,Post558,2,16,SepDec-17
User0505,Post432,2,4,JanApr-17
User0120,Post269,2,12,SepDec-17
User0107,Post412,2,6,SepDec-17
User0107,Post233,2,10,SepDec-17
User0103,Post361,2,16,SepDec-17
User1480,Post534,2,9,JanApr-17
User0454,Post390,2,3,JanApr-17
User0454,Post458,2,9,JanApr-17
User6172,Post012,2,8,JanApr-17
User0454,Post012,2,8,JanApr-17
User3570,Post012,2,8,JanApr-17
User7599,Post197,2,15,JanApr-17
User0454,Post197,2,15,JanApr-17
User1851,Post415,2,18,JanApr-17
User0103,Post310,2,2,MayAug-17
User0097,Post372,2,9,SepDec-17
User0090,Post276,2,17,SepDec-17
User0090,Post537,2,14,SepDec-17
User0090,Post473,2,8,SepDec-17
User0454,Post135,2,9,SepDec-16
User6172,Post207,2,3,SepDec-16
User0454,Post587,2,7,SepDec-16
User0454,Post582,2,9,SepDec-16
User0454,Post544,2,10,SepDec-16
User0090,Post042,2,16,SepDec-17
User0086,Post066,2,12,JanApr-17
User0081,Post381,2,18,SepDec-17
User0075,Post571,2,12,JanApr-17
User0052,Post357,2,14,JanApr-17
User0050,Post219,2,18,SepDec-17
User0048,Post371,2,17,JanApr-17
User0046,Post301,2,1,JanApr-17
User0044,Post076,2,10,JanApr-17
User0039,Post574,2,17,SepDec-17
User1955,Post195,2,4,SepDec-16
User7438,Post195,2,4,SepDec-16
User5501,Post195,2,4,SepDec-16
User4929,Post195,2,4,SepDec-16
User6753,Post195,2,4,SepDec-16
User6376,Post195,2,4,SepDec-16
User1117,Post195,2,4,SepDec-16
User7268,Post195,2,4,SepDec-16
User6324,Post195,2,4,SepDec-16
User5187,Post195,2,4,SepDec-16
User5646,Post552,2,18,SepDec-16
User0455,Post257,2,15,SepDec-16
User3697,Post429,2,4,SepDec-16
User6696,Post317,2,6,SepDec-16
User2613,Post331,2,7,SepDec-16
User0039,Post223,2,1,SepDec-17
User7265,Post483,2,5,SepDec-16
User0039,Post087,2,12,SepDec-17
